label,n,pos,neg,uncertain,pos_rate
Atelectasis,112120,11559,100561,0,0.10309489832322512
Consolidation,112120,4667,107453,0,0.0416250445950767
Infiltration,112120,19894,92226,0,0.17743489118801284
Pneumothorax,112120,5302,106818,0,0.04728861933642526
Edema,112120,2303,109817,0,0.020540492329646807
Emphysema,112120,2516,109604,0,0.022440242597217268
Fibrosis,112120,1686,110434,0,0.015037459864430967
Effusion,112120,13317,98803,0,0.11877452729218695
Pneumonia,112120,1431,110689,0,0.012763110952550838
Pleural_Thickening,112120,3385,108735,0,0.030190866928291118
Cardiomegaly,112120,2776,109344,0,0.024759186585800928
Nodule,112120,6331,105789,0,0.05646628612201213
Mass,112120,5782,106338,0,0.05156974669996432
Hernia,112120,227,111893,0,0.0020246164823403494
Lung Lesion,0,0,0,0,0.0
Fracture,0,0,0,0,0.0
Lung Opacity,0,0,0,0,0.0
Enlarged Cardiomediastinum,0,0,0,0,0.0
