,AUROC,CI_Lower_95,CI_Upper_95
Atelectasis,0.7660178505169614,0.7616327767259631,0.7700223814830441
Consolidation,0.7757762573363107,0.7698600855118822,0.7813924220947961
Infiltration,0.6795145890115232,0.6753461118454783,0.6835976531175695
Pneumothorax,0.7543483573617312,0.7486328278452951,0.7599464273333454
Edema,0.8521256187182062,0.845429972987206,0.8582952930746617
Emphysema,0.6918008421878236,0.6827593203482204,0.7013235962807904
Fibrosis,0.721717276757156,0.7101646680818718,0.7337406873865975
Effusion,0.8540311146865467,0.8509238703701864,0.8572612168693065
Pneumonia,0.7040922773793743,0.691488151601844,0.7174738700696511
Pleural_Thickening,0.7414630585559637,0.7331446842349153,0.7491878338141187
Cardiomegaly,0.8765749264120786,0.8705976541749314,0.8829177051233038
Nodule,0.685150489079615,0.6786007031215718,0.6922300686578142
Mass,0.7982736046840038,0.7919430305127131,0.8041387932881859
Hernia,0.9048117909688027,0.8812308166929215,0.9260540277732451
