,Threshold,Sensitivity,Specificity
Atelectasis,0.45557073,0.7672809066528247,0.6320641202852
Consolidation,0.50427437,0.7728733661881294,0.6716983239183643
Infiltration,0.53907454,0.5419724540062331,0.7140827966083317
Pneumothorax,0.47968557,0.8178046020369671,0.5945159055589881
Edema,0.104364485,0.8363004776378636,0.730333190671754
Emphysema,0.42595312,0.7798092209856916,0.5036312543337834
Fibrosis,0.5082381,0.7419928825622776,0.5809714399550863
Effusion,0.43100145,0.8107681910340166,0.7530439359128771
Pneumonia,0.088811025,0.649895178197065,0.6698949308422698
Pleural_Thickening,0.50440454,0.672082717872969,0.6844530280038627
Cardiomegaly,0.24257317,0.7690922190201729,0.813560872110038
Nodule,0.51895344,0.4988153530247986,0.765457656278063
Mass,0.54017645,0.7350397786233137,0.7097650886794937
Hernia,0.09859166,0.7665198237885462,0.8960971642551366
