,Threshold,Sensitivity,Specificity
Atelectasis,0.5148157,0.7540444675144908,0.5944849394894641
Consolidation,0.5049646,0.7853010499250054,0.6246545001070235
Infiltration,0.54591453,0.5279983914748165,0.6943703510940515
Pneumothorax,0.5015965,0.7280271595624292,0.5742009773633657
Edema,0.5007502,0.8454190186712983,0.6685303732573281
Emphysema,0.4566075,0.7313195548489666,0.48734535235940296
Fibrosis,0.5031688,0.638196915776987,0.6647771519640691
Effusion,0.5076587,0.7856123751595705,0.7123670333896744
Pneumonia,0.50250095,0.6275331935709294,0.6752432491033437
Pleural_Thickening,0.50507677,0.6552437223042836,0.6725893226651952
Cardiomegaly,0.45925856,0.7881844380403458,0.7625475563359673
Nodule,0.5089748,0.5553625019744116,0.6559661212413389
Mass,0.5118581,0.672950536146662,0.7182098591284395
Hernia,0.5004092,0.7268722466960352,0.7193300742673805
