,AUROC,CI_Lower_95,CI_Upper_95
Atelectasis,0.7817398927392738,0.7493629133117106,0.8148468390574631
Consolidation,0.7231216837081768,0.6722038599994957,0.7661990316795697
Infiltration,0.6778131661442006,0.6432647535208037,0.7173782630632792
Pneumothorax,0.8557099080694588,0.8171711972892097,0.8906536177580586
Edema,0.8994198768510508,0.8687939406472482,0.924194857537501
Emphysema,0.8930418821958953,0.8543215830385851,0.9291044835514012
Fibrosis,0.7736528822055139,0.7184259830821494,0.8275093356899978
Effusion,0.8288074041329296,0.8003871403190956,0.8564592414651716
Pneumonia,0.6733452950558214,0.6070288759893362,0.7344123890210825
Pleural_Thickening,0.7469342251950947,0.6917465583306943,0.7973393318049493
Cardiomegaly,0.8988675500554549,0.8529772781062861,0.9372913650678795
Nodule,0.7117216220536109,0.6636502910662853,0.7600717334957396
Mass,0.7621163283677441,0.7139641044638225,0.8086888784076285
Hernia,0.9387034189911414,0.8980023417808841,0.9728043659290982
