,Threshold,Sensitivity,Specificity
Atelectasis,0.12023079,0.703125,0.7289603960396039
Consolidation,0.037531342,0.8130841121495327,0.5487122060470325
Infiltration,0.17169349,0.6727272727272727,0.6
Pneumothorax,0.035162207,0.8,0.7696629213483146
Edema,0.029597376,0.8953488372093024,0.8194748358862144
Emphysema,0.027008234,0.7948717948717948,0.8362255965292842
Fibrosis,0.024716575,0.6447368421052632,0.7846320346320347
Effusion,0.10097552,0.8154506437768241,0.6975228161668839
Pneumonia,0.041706096,0.6052631578947368,0.7196969696969697
Pleural_Thickening,0.04082173,0.6310679611650486,0.7447045707915273
Cardiomegaly,0.013359772,0.8108108108108109,0.8390928725701944
Nodule,0.04001212,0.6942148760330579,0.6336746302616609
Mass,0.06737599,0.5982905982905983,0.8289920724801813
Hernia,0.0018166923,0.896551724137931,0.8789808917197452
