model,policy,metric,point,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-all,u0,macro_auroc,0.7380660467017142,0.7377420816881618,0.7043211761217261,0.7636194422866757,500,common_labels
densenet121-res224-all,u0,macro_auprc_ap,0.09647629584888144,0.0974056334040551,0.0903518040415992,0.10617275467792373,500,common_labels
densenet121-res224-chex,u0,macro_auroc,0.6767006760356212,0.6762499380513314,0.6341142119237545,0.7089956091164655,500,common_labels
densenet121-res224-chex,u0,macro_auprc_ap,0.055793687304679485,0.056413073257377044,0.052794885920430856,0.06032863735253691,500,common_labels
densenet121-res224-mimic_nb,u0,macro_auroc,0.6516840969967869,0.650499595778788,0.6159102199495824,0.6819057926807846,500,common_labels
densenet121-res224-mimic_nb,u0,macro_auprc_ap,0.05528323468302287,0.056164952632468096,0.05251066863320153,0.060696925366033716,500,common_labels
densenet121-res224-mimic_ch,u0,macro_auroc,0.6575417955251958,0.6577881830360833,0.6176431995373585,0.690007593817275,500,common_labels
densenet121-res224-mimic_ch,u0,macro_auprc_ap,0.06122076775689667,0.06223268883153331,0.05742796414473663,0.06784539299611092,500,common_labels
densenet121-res224-nih,u0,macro_auroc,0.6524148900694248,0.6524227103306479,0.6237446617992921,0.6844537062683487,500,common_labels
densenet121-res224-nih,u0,macro_auprc_ap,0.06466369214328174,0.06528611877927036,0.06027934245036841,0.07038265057626114,500,common_labels
densenet121-res224-pc,u0,macro_auroc,0.7411535519121014,0.7413409639421935,0.706410775380759,0.771287478215203,500,common_labels
densenet121-res224-pc,u0,macro_auprc_ap,0.10018950301551831,0.1016125080840938,0.09363184982256864,0.1111626717550936,500,common_labels
resnet50-res512-all,u0,macro_auroc,0.733169186253291,0.7316820377517267,0.7002296709824805,0.7589103247390712,500,common_labels
resnet50-res512-all,u0,macro_auprc_ap,0.10854967953460269,0.10933932501877874,0.10135205004506956,0.11731627909678422,500,common_labels
densenet121-res224-all,ignore_uncertain,macro_auroc,0.7380660467017142,0.7384094021343107,0.7049292159138705,0.7642966981600648,500,common_labels
densenet121-res224-all,ignore_uncertain,macro_auprc_ap,0.09647629584888144,0.09729566078267653,0.0894478822473982,0.10437556442625232,500,common_labels
densenet121-res224-chex,ignore_uncertain,macro_auroc,0.6767006760356212,0.6757107724986567,0.6381570205450492,0.7071668332780214,500,common_labels
densenet121-res224-chex,ignore_uncertain,macro_auprc_ap,0.055793687304679485,0.056458011587170204,0.05270084490334864,0.06037064127763978,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,macro_auroc,0.6516840969967869,0.6509271834135897,0.6172014025998456,0.6839509907763663,500,common_labels
densenet121-res224-mimic_nb,ignore_uncertain,macro_auprc_ap,0.05528323468302287,0.05590431272411267,0.05177036946623636,0.06029618338323303,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,macro_auroc,0.6575417955251958,0.6564074865107886,0.6216525375883974,0.6882337734359201,500,common_labels
densenet121-res224-mimic_ch,ignore_uncertain,macro_auprc_ap,0.06122076775689667,0.061887455034602454,0.05726284163095677,0.06678873618880178,500,common_labels
densenet121-res224-nih,ignore_uncertain,macro_auroc,0.6524148900694248,0.6535047774773578,0.6220061195971418,0.6843771820917341,500,common_labels
densenet121-res224-nih,ignore_uncertain,macro_auprc_ap,0.06466369214328174,0.06542361138499757,0.06062303899042562,0.07000608414914634,500,common_labels
densenet121-res224-pc,ignore_uncertain,macro_auroc,0.7411535519121014,0.7413326334682936,0.709996073365187,0.768452702484999,500,common_labels
densenet121-res224-pc,ignore_uncertain,macro_auprc_ap,0.10018950301551831,0.10175606466677001,0.09393651267585114,0.1095067935332301,500,common_labels
resnet50-res512-all,ignore_uncertain,macro_auroc,0.733169186253291,0.7333242874453777,0.7006714692821483,0.7647479075189035,500,common_labels
resnet50-res512-all,ignore_uncertain,macro_auprc_ap,0.10854967953460269,0.10948193795724906,0.10182322824955749,0.11727434292511747,500,common_labels
