model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-all,u0,Atelectasis,auroc,0.71205892532715,0.6978137300404887,0.7263908488930411,500,common_labels
densenet121-res224-all,u0,Atelectasis,auprc_ap,0.12201077946924008,0.1122670083865,0.13321807634542623,500,common_labels
densenet121-res224-all,u0,Cardiomegaly,auroc,0.8438224260263758,0.8334744759170789,0.8538548620581777,500,common_labels
densenet121-res224-all,u0,Cardiomegaly,auprc_ap,0.28373104876191324,0.2617395448219057,0.309068027035053,500,common_labels
densenet121-res224-all,u0,Consolidation,auroc,0.6285214481843728,0.6115802288305671,0.6452505306101471,500,common_labels
densenet121-res224-all,u0,Consolidation,auprc_ap,0.07602667912037481,0.06934117761304104,0.08289069491202676,500,common_labels
densenet121-res224-all,u0,Edema,auroc,0.7180161482261854,0.5255224714215442,0.8560941451305555,500,common_labels
densenet121-res224-all,u0,Edema,auprc_ap,0.00151379717851515,0.0004342562108466644,0.003474602636275722,500,common_labels
densenet121-res224-all,u0,Pleural Effusion,auroc,0.8084566465446932,0.7868943988324603,0.8296762384110503,500,common_labels
densenet121-res224-all,u0,Pleural Effusion,auprc_ap,0.16404807437000868,0.1298076874356139,0.2007319324602721,500,common_labels
densenet121-res224-all,u0,Pneumonia,auroc,0.6948198184865709,0.6647206535271638,0.721739916030932,500,common_labels
densenet121-res224-all,u0,Pneumonia,auprc_ap,0.02247618587422742,0.019125090570440626,0.02603370357324332,500,common_labels
densenet121-res224-all,u0,Pneumothorax,auroc,0.758499159021784,0.6312732161204089,0.8574086591893784,500,common_labels
densenet121-res224-all,u0,Pneumothorax,auprc_ap,0.012032869054106343,0.0025448324038730773,0.038278522646792684,500,common_labels
densenet121-res224-chex,u0,Atelectasis,auroc,0.6382528188382477,0.6227604632203086,0.6536490909582297,500,common_labels
densenet121-res224-chex,u0,Atelectasis,auprc_ap,0.09383243416181578,0.08548227433579624,0.1027685942836356,500,common_labels
densenet121-res224-chex,u0,Cardiomegaly,auroc,0.7328561476121929,0.7146995025991592,0.7465689600137254,500,common_labels
densenet121-res224-chex,u0,Cardiomegaly,auprc_ap,0.14041862790347961,0.12907880916000514,0.15068181070485986,500,common_labels
densenet121-res224-chex,u0,Consolidation,auroc,0.528211040314476,0.5122605143576823,0.5451251207590323,500,common_labels
densenet121-res224-chex,u0,Consolidation,auprc_ap,0.05545668102656789,0.05117340991917937,0.05996483999785996,500,common_labels
densenet121-res224-chex,u0,Edema,auroc,0.7289570107393349,0.47879715416165486,0.9350406560959279,500,common_labels
densenet121-res224-chex,u0,Edema,auprc_ap,0.0038100126476618367,0.0004848386182560453,0.011079996426336449,500,common_labels
densenet121-res224-chex,u0,Pleural Effusion,auroc,0.7611130426093077,0.7392002869739058,0.7813080701016039,500,common_labels
densenet121-res224-chex,u0,Pleural Effusion,auprc_ap,0.07348793608771781,0.06066422531427513,0.08669351849163243,500,common_labels
densenet121-res224-chex,u0,Pneumonia,auroc,0.6829703787771186,0.6534989135611942,0.7082629354527652,500,common_labels
densenet121-res224-chex,u0,Pneumonia,auprc_ap,0.024405167129377375,0.019085015004368537,0.030372496031482517,500,common_labels
densenet121-res224-chex,u0,Pneumothorax,auroc,0.6613891274686416,0.556741249385838,0.750152106323486,500,common_labels
densenet121-res224-chex,u0,Pneumothorax,auprc_ap,0.0034806538450190107,0.0015260895655953928,0.006502106329055559,500,common_labels
densenet121-res224-mimic_nb,u0,Atelectasis,auroc,0.6061073368275336,0.5906181589785049,0.6227504203729713,500,common_labels
densenet121-res224-mimic_nb,u0,Atelectasis,auprc_ap,0.08549309725650202,0.07809686555730544,0.09389340473191692,500,common_labels
densenet121-res224-mimic_nb,u0,Cardiomegaly,auroc,0.7202789741096058,0.7043997042862333,0.7340460687634196,500,common_labels
densenet121-res224-mimic_nb,u0,Cardiomegaly,auprc_ap,0.13480442144066432,0.1202535096749253,0.15232082174974343,500,common_labels
densenet121-res224-mimic_nb,u0,Consolidation,auroc,0.5866629718477436,0.568424978744666,0.6047943209783235,500,common_labels
densenet121-res224-mimic_nb,u0,Consolidation,auprc_ap,0.0678435809082163,0.06253269287784217,0.07386444470339924,500,common_labels
densenet121-res224-mimic_nb,u0,Edema,auroc,0.6462603692936266,0.45290381026745313,0.8203307151067297,500,common_labels
densenet121-res224-mimic_nb,u0,Edema,auprc_ap,0.00214192993195385,0.0003574257038102891,0.00610525086855437,500,common_labels
densenet121-res224-mimic_nb,u0,Pleural Effusion,auroc,0.7484340930798778,0.7259780112763089,0.7700755330304727,500,common_labels
densenet121-res224-mimic_nb,u0,Pleural Effusion,auprc_ap,0.0700133270984656,0.05796584484200728,0.08201077114086351,500,common_labels
densenet121-res224-mimic_nb,u0,Pneumonia,auroc,0.6753392530043453,0.6432001783458602,0.7079616657795168,500,common_labels
densenet121-res224-mimic_nb,u0,Pneumonia,auprc_ap,0.024038273821424507,0.019453613700330323,0.029213448148857228,500,common_labels
densenet121-res224-mimic_nb,u0,Pneumothorax,auroc,0.570414172288783,0.4125240755542728,0.7018236658993467,500,common_labels
densenet121-res224-mimic_nb,u0,Pneumothorax,auprc_ap,0.008820037970050066,0.0013365941875815295,0.028918475558301456,500,common_labels
densenet121-res224-mimic_ch,u0,Atelectasis,auroc,0.6226562745752431,0.6060509428176073,0.6374923717024364,500,common_labels
densenet121-res224-mimic_ch,u0,Atelectasis,auprc_ap,0.09048650153942725,0.08222651331562361,0.09953245874848238,500,common_labels
densenet121-res224-mimic_ch,u0,Cardiomegaly,auroc,0.73228838342344,0.7190282712390799,0.7442304982110878,500,common_labels
densenet121-res224-mimic_ch,u0,Cardiomegaly,auprc_ap,0.14986040764502395,0.13557025242912069,0.16483264240797665,500,common_labels
densenet121-res224-mimic_ch,u0,Consolidation,auroc,0.5694985879968224,0.5530470923029048,0.5851515117301422,500,common_labels
densenet121-res224-mimic_ch,u0,Consolidation,auprc_ap,0.06381654354369111,0.058548388694321184,0.06919370645223856,500,common_labels
densenet121-res224-mimic_ch,u0,Edema,auroc,0.6395543469359536,0.40586336633328435,0.8335807678519679,500,common_labels
densenet121-res224-mimic_ch,u0,Edema,auprc_ap,0.0013568277109398828,0.00040260121842012714,0.002919036705530981,500,common_labels
densenet121-res224-mimic_ch,u0,Pleural Effusion,auroc,0.7736972291407842,0.751727409071838,0.7928090261551629,500,common_labels
densenet121-res224-mimic_ch,u0,Pleural Effusion,auprc_ap,0.09370713003960116,0.07353674281313691,0.11505596335136109,500,common_labels
densenet121-res224-mimic_ch,u0,Pneumonia,auroc,0.6948281800224756,0.6670439942873678,0.7236885527995542,500,common_labels
densenet121-res224-mimic_ch,u0,Pneumonia,auprc_ap,0.03315016363104787,0.023393582342116047,0.048251432547624235,500,common_labels
densenet121-res224-mimic_ch,u0,Pneumothorax,auroc,0.5719942791578648,0.4576676331204536,0.6634682666220061,500,common_labels
densenet121-res224-mimic_ch,u0,Pneumothorax,auprc_ap,0.0032512477110019874,0.001312005445371909,0.006803650073341172,500,common_labels
densenet121-res224-nih,u0,Atelectasis,auroc,0.6872289990129904,0.6730602424894203,0.701876742398685,500,common_labels
densenet121-res224-nih,u0,Atelectasis,auprc_ap,0.11252706494112459,0.10301780434208851,0.1232645749490034,500,common_labels
densenet121-res224-nih,u0,Cardiomegaly,auroc,0.7762221578844379,0.7632819325814016,0.7883807958812085,500,common_labels
densenet121-res224-nih,u0,Cardiomegaly,auprc_ap,0.17095335884217086,0.1575469121000172,0.18371342193866097,500,common_labels
densenet121-res224-nih,u0,Consolidation,auroc,0.5356632646865478,0.5177116260427211,0.5541103950550204,500,common_labels
densenet121-res224-nih,u0,Consolidation,auprc_ap,0.06367180458383784,0.057500234657969475,0.07092762285328243,500,common_labels
densenet121-res224-nih,u0,Edema,auroc,0.4940514416417022,0.31106846461667165,0.667032548577206,500,common_labels
densenet121-res224-nih,u0,Edema,auprc_ap,0.0006230023746340214,0.0002546299165839712,0.0012026937535058392,500,common_labels
densenet121-res224-nih,u0,Pleural Effusion,auroc,0.7265880417812942,0.698590243054925,0.7523139456390412,500,common_labels
densenet121-res224-nih,u0,Pleural Effusion,auprc_ap,0.08232048346573008,0.06376594297791521,0.1056472594736842,500,common_labels
densenet121-res224-nih,u0,Pneumonia,auroc,0.6397237489472581,0.6057373245355034,0.6754724945075035,500,common_labels
densenet121-res224-nih,u0,Pneumonia,auprc_ap,0.02183256547347228,0.017755413365804374,0.026791952410561475,500,common_labels
densenet121-res224-nih,u0,Pneumothorax,auroc,0.7074813183603044,0.6087761750542711,0.8005811305723962,500,common_labels
densenet121-res224-nih,u0,Pneumothorax,auprc_ap,0.005074551773922914,0.00222341109722919,0.009972287199314986,500,common_labels
densenet121-res224-pc,u0,Atelectasis,auroc,0.7068040939766429,0.6936715596886561,0.720306762668647,500,common_labels
densenet121-res224-pc,u0,Atelectasis,auprc_ap,0.13784853205022118,0.12387320042946866,0.15421636649557316,500,common_labels
densenet121-res224-pc,u0,Cardiomegaly,auroc,0.824114385509798,0.8142188974463259,0.8341884597024838,500,common_labels
densenet121-res224-pc,u0,Cardiomegaly,auprc_ap,0.23855626885550937,0.2197668066245951,0.2607949912562316,500,common_labels
densenet121-res224-pc,u0,Consolidation,auroc,0.6666787718579067,0.6509524159473166,0.6836517372972037,500,common_labels
densenet121-res224-pc,u0,Consolidation,auprc_ap,0.11590508977485049,0.10139171669111086,0.1313070089863023,500,common_labels
