model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-all,u0,Enlarged Cardiomediastinum,18424,24,18400,0.0013026487190620929,0.6543432971014493,0.018327072106711823,0.07353796561335665,0.1717254208245929,False,False
densenet121-res224-all,u0,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.8437198014495427,0.28212847848531325,0.08841358655445498,0.09017721090525825,False,True
densenet121-res224-all,u0,Lung Lesion,18424,543,17881,0.02947242726877985,0.4346669093185427,0.02404534159802303,0.03717536444858595,0.03765734985680656,False,False
densenet121-res224-all,u0,Lung Opacity,18424,1407,17017,0.07636778115501519,0.6602418025972523,0.11149356720964573,0.15198830198217025,0.17506404375505857,False,False
densenet121-res224-all,u0,Edema,18424,9,18415,0.0004884932696482848,0.7140374694542493,0.0011756826471431827,0.030148906863704493,0.07439063682306032,False,True
densenet121-res224-all,u0,Consolidation,18424,1033,17391,0.056068171949630916,0.6289778742473588,0.07578093605077438,0.10496086449826295,0.16547982058364089,False,True
densenet121-res224-all,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.6949674164100308,0.02224161274459012,0.060171057299879045,0.10169859785973838,False,True
densenet121-res224-all,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.7116230190279614,0.12143508558900852,0.10648358028184998,0.146882295022018,False,True
densenet121-res224-all,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7648187731078729,0.009536493698873246,0.09239235144734824,0.23836270450308294,False,True
densenet121-res224-all,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.8083179732149827,0.16303578172646752,0.06442231028932466,0.1143052441976878,False,True
densenet121-res224-all,u0,Fracture,18424,239,18185,0.01297221016066001,0.5486747664347024,0.01396309311450982,0.07307091059784841,0.1846209878963309,False,False
densenet121-res224-chex,u0,Enlarged Cardiomediastinum,18424,24,18400,0.0013026487190620929,0.6845561594202898,0.0023896142774013354,0.20169263900621254,0.38293105923829784,False,False
densenet121-res224-chex,u0,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7326322527780157,0.13947912229736983,0.2089920767988544,0.28767974937052215,False,True
densenet121-res224-chex,u0,Lung Lesion,18424,543,17881,0.02947242726877985,,,,,True,False
densenet121-res224-chex,u0,Lung Opacity,18424,1407,17017,0.07636778115501519,0.6250485581979373,0.10501407640287098,0.26389103101012834,0.34854228296312423,False,False
densenet121-res224-chex,u0,Edema,18424,9,18415,0.0004884932696482848,0.7270160195492805,0.002769825019526963,0.2386910593608809,0.39387768404999457,False,True
densenet121-res224-chex,u0,Consolidation,18424,1033,17391,0.056068171949630916,0.5286032437803867,0.05539620230814996,0.20312742725829272,0.26716244537299716,False,True
densenet121-res224-chex,u0,Pneumonia,18424,240,18184,0.013026487190620929,0.682485518404458,0.023638146614923288,0.10528361439890076,0.21781046849315835,False,True
densenet121-res224-chex,u0,Atelectasis,18424,1217,17207,0.06605514546244029,0.6383258299217909,0.0934911926338729,0.2525269214146341,0.3455122017534249,False,True
densenet121-res224-chex,u0,Pneumothorax,18424,32,18392,0.0017368649587494573,0.666188084493258,0.0031068195620681705,0.05702629346480927,0.16310823768194205,False,True
densenet121-res224-chex,u0,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7616537833221578,0.07267450269684528,0.21127627555481013,0.3178819148325771,False,True
