model,policy,label,model_pathology,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin
densenet121-res224-all,ignore_uncertain,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034,0.6543267750058881,0.0183270761597982,0.0735419491940589,0.171734079449728
densenet121-res224-all,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.8437198014495427,0.2821284784853132,0.0884135865706307,0.0901772108884253
densenet121-res224-all,ignore_uncertain,Lung Lesion,Lung Lesion,18416,543,17873,0.0294852302345786,0.4346256104689533,0.0240532870917803,0.0371914287174152,0.0376767395359554
densenet121-res224-all,ignore_uncertain,Lung Opacity,Lung Opacity,18417,1407,17010,0.0763968072976054,0.6601645756269463,0.1115024358033051,0.1520418950936965,0.1750993494052383
densenet121-res224-all,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.7140374694542493,0.0011756826471431,0.0301489068689561,0.0743906368227506
densenet121-res224-all,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.6289778742473588,0.0757809360507743,0.1049608645416148,0.1654798205785414
densenet121-res224-all,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.6949674164100308,0.0222416127445901,0.0601710573078772,0.1016985978660997
densenet121-res224-all,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.7116230190279614,0.1214350855890085,0.1064835803016433,0.1468822949980698
densenet121-res224-all,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.7648187731078729,0.0095364936988732,0.0923923513759695,0.238362704414154
densenet121-res224-all,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.8083179732149827,0.1630357817264675,0.0644223102369384,0.1143052441323483
densenet121-res224-all,ignore_uncertain,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5486747664347024,0.0139630931145098,0.0730709105715278,0.1846209878893144
densenet121-res224-chex,ignore_uncertain,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034,0.6845707194231571,0.0023897759569986,0.2016864133767077,0.3829213131496882
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7326322527780157,0.1394791222973698,0.2089920768600902,0.287679749412728
densenet121-res224-chex,ignore_uncertain,Lung Lesion,Lung Lesion,18416,543,17873,0.0294852302345786,0.5039274442895078,0.0280650158307586,0.1171323511272865,0.2027122190378163
densenet121-res224-chex,ignore_uncertain,Lung Opacity,Lung Opacity,18417,1407,17010,0.0763968072976054,0.6249585197385877,0.1050215217284577,0.2639705260546962,0.3486021756490459
densenet121-res224-chex,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.7270160195492805,0.0027698250195269,0.2386910593128443,0.3938776840155453
densenet121-res224-chex,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5286032437803867,0.0553962023081499,0.2031274272350037,0.2671624453413375
densenet121-res224-chex,ignore_uncertain,Pneumonia,Pneumonia,18424,240,18184,0.0130264871906209,0.682485518404458,0.0236381466149232,0.1052836143246498,0.2178104684410861
densenet121-res224-chex,ignore_uncertain,Atelectasis,Atelectasis,18424,1217,17207,0.0660551454624402,0.6383258299217909,0.0934911926338729,0.2525269214296912,0.3455122016802671
densenet121-res224-chex,ignore_uncertain,Pneumothorax,Pneumothorax,18424,32,18392,0.0017368649587494,0.666188084493258,0.0031068195620681,0.0570262934081049,0.1631082376152035
densenet121-res224-chex,ignore_uncertain,Pleural Effusion,Effusion,18424,501,17923,0.0271927920104211,0.7616537833221578,0.0726745026968452,0.2112762755124914,0.3178819148146071
densenet121-res224-chex,ignore_uncertain,Fracture,Fracture,18424,239,18185,0.01297221016066,0.5856859359235564,0.0174912183954814,0.1735421210027904,0.3333810037812543
densenet121-res224-mimic_nb,ignore_uncertain,Enlarged Cardiomediastinum,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034,0.6282134898635795,0.0034824246567913,0.1722922808619686,0.3325442435996339
densenet121-res224-mimic_nb,ignore_uncertain,Cardiomegaly,Cardiomegaly,18424,1437,16987,0.0779960920538428,0.7202445203604264,0.1340708017092157,0.2259443753444584,0.3205956175772089
densenet121-res224-mimic_nb,ignore_uncertain,Lung Lesion,Lung Lesion,18416,543,17873,0.0294852302345786,0.5510984036231075,0.0327831039229851,0.2099156183029975,0.3747673017940882
densenet121-res224-mimic_nb,ignore_uncertain,Lung Opacity,Lung Opacity,18417,1407,17010,0.0763968072976054,0.6521730810130084,0.1236013403804583,0.2654107613567747,0.4057515514243358
densenet121-res224-mimic_nb,ignore_uncertain,Edema,Edema,18424,9,18415,0.0004884932696482,0.6481310525839442,0.0015299811226878,0.2528691562708985,0.430744551411417
densenet121-res224-mimic_nb,ignore_uncertain,Consolidation,Consolidation,18424,1033,17391,0.0560681719496309,0.5868491747492319,0.0674834083122112,0.1817494966498285,0.2846425252594649
