policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
u0,densenet121-res224-all,Adults: 25–64 years,0.6950505248242196,11,0.06607107181663091,11,0.04712919865549758,0.09041197858640772,9979
u0,densenet121-res224-all,Children: 5–14 years,0.6444067167222904,9,0.11637644892077313,11,0.10805557138652881,0.17256494460423974,849
u0,densenet121-res224-all,Infants and Toddlers: 0–4 years,0.5627428726897139,8,0.06920074851515648,11,0.14974644353592273,0.24268261924509185,1388
u0,densenet121-res224-all,Open-ended: 85+,0.4202242962571481,11,0.06969143525722402,11,0.20569533055202352,0.35038041180567725,1174
u0,densenet121-res224-all,Seniors: 65–84 years,0.6322781919572786,11,0.09980475557293711,11,0.10525938363859372,0.16790578360985178,4030
u0,densenet121-res224-all,Young Adults: 15–24 years,0.6966995704616464,9,0.06525692521099641,11,0.04280907087845179,0.08618155888763844,1004
u0,densenet121-res224-chex,Adults: 25–64 years,0.6380460030967728,11,0.04030944067833336,11,0.13654562357067923,0.24239762138820656,9979
u0,densenet121-res224-chex,Children: 5–14 years,0.6982530201983654,9,0.11389347978477872,11,0.1732619440625168,0.28525558993152367,849
u0,densenet121-res224-chex,Infants and Toddlers: 0–4 years,0.4718274824511994,8,0.0561296400867348,11,0.2597814055276339,0.3769888306024876,1388
u0,densenet121-res224-chex,Open-ended: 85+,0.5282035676388422,11,0.057875006818311786,11,0.38524241026006634,0.549544636004979,1174
u0,densenet121-res224-chex,Seniors: 65–84 years,0.6158958922754618,11,0.059443004840468966,11,0.2481766248244101,0.3743426463840694,4030
u0,densenet121-res224-chex,Young Adults: 15–24 years,0.6808728165325717,9,0.09803667743614945,11,0.08231807578122556,0.16383449957872143,1004
u0,densenet121-res224-mimic_ch,Adults: 25–64 years,0.6341082020614363,11,0.04499562483799517,11,0.183164527697342,0.34046195447323896,9979
u0,densenet121-res224-mimic_ch,Children: 5–14 years,0.6576656160927226,9,0.11177142415938417,11,0.2204295373224421,0.36434927319260385,849
u0,densenet121-res224-mimic_ch,Infants and Toddlers: 0–4 years,0.5320483438623305,8,0.06824719509328625,11,0.32791007228935837,0.48197149170308895,1388
u0,densenet121-res224-mimic_ch,Open-ended: 85+,0.5392624185881184,11,0.06173721851314979,11,0.29056085718479624,0.47404958119278934,1174
u0,densenet121-res224-mimic_ch,Seniors: 65–84 years,0.6388638055015448,11,0.07667620144359345,11,0.24626456090320117,0.4078612893946634,4030
u0,densenet121-res224-mimic_ch,Young Adults: 15–24 years,0.5897618631587159,9,0.050278856554817654,11,0.1393105068775825,0.2780356212678186,1004
