policy,model,group_value,macro_auroc,n_labels_auroc,macro_auprc_ap,n_labels_auprc_ap,macro_brier,macro_ece_10bin,group_count
u0,densenet121-res224-all,AP,0.5773409849939257,10,0.045191079187648926,11,0.17534829978120947,0.3129300363166012,4818
u0,densenet121-res224-all,PA,0.7515913630578815,11,0.13209118349312135,11,0.04657675657369531,0.07622802070646083,13606
u0,densenet121-res224-chex,AP,0.5310971394707964,10,0.02883730126022329,11,0.3092245523263426,0.46237310501383766,4818
u0,densenet121-res224-chex,PA,0.6977139616073502,11,0.07664794767173584,11,0.14078308106398094,0.23932956749408796,13606
u0,densenet121-res224-mimic_ch,AP,0.6075638065741341,10,0.04725075685548517,11,0.2852905088854076,0.4639718523617079,4818
u0,densenet121-res224-mimic_ch,PA,0.6639479239414643,11,0.07156539221399663,11,0.1888126843700485,0.33869359271842137,13606
u0,densenet121-res224-mimic_nb,AP,0.614851039111328,10,0.04073337834582817,11,0.3191327543843844,0.4832209885447391,4818
u0,densenet121-res224-mimic_nb,PA,0.6769985306705167,11,0.07355031497632082,11,0.1827779532828577,0.32096484563792793,13606
u0,densenet121-res224-nih,AP,0.49883799989519256,6,0.030211867642212446,7,0.17853927391777483,0.31373492668148767,4818
u0,densenet121-res224-nih,PA,0.7089803235643413,7,0.12021837672262202,7,0.08764215071153744,0.15686769989362803,13606
u0,densenet121-res224-pc,AP,0.6073648123829324,7,0.06095901010423504,8,0.21852328701640222,0.38859983976448187,4818
u0,densenet121-res224-pc,PA,0.754816941967331,8,0.12623198279440156,8,0.10148202224820191,0.1975101426222716,13606
u0,resnet50-res512-all,AP,0.5652746270031589,10,0.03863287309994287,11,0.08789769245929847,0.1472714297070741,4818
u0,resnet50-res512-all,PA,0.71013136133831,11,0.1439770778530264,11,0.0732232113068982,0.10920949053480032,13606
