model,short_name,policy,n_images,common_labels_n,common_macro_auroc,common_macro_ap,common_macro_brier,common_macro_ece,valid_labels_n,valid_macro_auroc,valid_macro_ap,common_auroc_ci_low,common_auroc_ci_high,n_degenerate_labels
densenet121-res224-all,DN121-all,u0,18424,7,0.7380660467017142,0.09647629584888144,0.07814180817640348,0.13304235855635524,11,0.6785808274876314,0.07665119499736915,0.7043211761217261,0.7636194422866757,0
densenet121-res224-chex,DN121-chex,u0,18424,7,0.6767006760356212,0.055793687304679485,0.18241766689302605,0.28471895736494524,10,0.6632195385791132,0.05154507202085103,0.6341142119237545,0.7089956091164655,1
densenet121-res224-mimic_nb,DN121-mimic_nb,u0,18424,7,0.6516840969967869,0.05528323468302287,0.2320785185430985,0.37292589191546427,11,0.6348802065556621,0.05130377506750235,0.6159102199495824,0.6819057926807846,0
densenet121-res224-mimic_ch,DN121-mimic_ch,u0,18424,7,0.6575417955251958,0.06122076775689667,0.23024854204651013,0.39164203609724996,11,0.6369781160684654,0.054953418269527,0.6176431995373585,0.690007593817275,0
densenet121-res224-nih,DN121-nih,u0,18424,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166,7,0.6524148900694248,0.06466369214328174,0.6237446617992921,0.6844537062683487,0
densenet121-res224-pc,DN121-pc,u0,18424,7,0.7411535519121014,0.10018950301551831,0.1321500485906812,0.23932959862730702,8,0.7183926644323156,0.08967291353598777,0.706410775380759,0.771287478215203,0
resnet50-res512-all,RN50-all,u0,18424,7,0.733169186253291,0.10854967953460269,0.03410055987601774,0.0283300163692689,9,0.7158209859519641,0.10586105669703769,0.7002296709824805,0.7589103247390712,2
densenet121-res224-all,DN121-all,ignore_uncertain,18424,7,0.7380660467017142,0.09647629584888144,0.07814180817640348,0.13304235855635524,11,0.6785685504044081,0.07665272391923307,0.7049292159138705,0.7642966981600648,0
densenet121-res224-chex,DN121-chex,ignore_uncertain,18424,7,0.6767006760356212,0.055793687304679485,0.18241766689302605,0.28471895736494524,10,0.6632119907334649,0.05154583272136942,0.6381570205450492,0.7071668332780214,1
densenet121-res224-mimic_nb,DN121-mimic_nb,ignore_uncertain,18424,7,0.6516840969967869,0.05528323468302287,0.2320785185430985,0.37292589191546427,11,0.6348723774981099,0.051305534431272656,0.6172014025998456,0.6839509907763663,0
densenet121-res224-mimic_ch,DN121-mimic_ch,ignore_uncertain,18424,7,0.6575417955251958,0.06122076775689667,0.23024854204651013,0.39164203609724996,11,0.6369660948698217,0.05495459446445843,0.6216525375883974,0.6882337734359201,0
densenet121-res224-nih,DN121-nih,ignore_uncertain,18424,7,0.6524148900694248,0.06466369214328174,0.11141236022832303,0.19563333230552166,7,0.6524148900694248,0.06466369214328174,0.6220061195971418,0.6843771820917341,0
densenet121-res224-pc,DN121-pc,ignore_uncertain,18424,7,0.7411535519121014,0.10018950301551831,0.1321500485906812,0.23932959862730702,8,0.7183926644323156,0.08967291353598777,0.709996073365187,0.768452702484999,0
resnet50-res512-all,RN50-all,ignore_uncertain,18424,7,0.733169186253291,0.10854967953460269,0.03410055987601774,0.0283300163692689,9,0.7158133201002381,0.10586259291672098,0.7006714692821483,0.7647479075189035,2
