,Threshold,Sensitivity,Specificity
Atelectasis,0.25838423,0.7888249794576828,0.4261056546754228
Consolidation,0.059129406,0.856727976766699,0.26099706744868034
Pneumothorax,0.0988798,0.78125,0.5632883862548934
Edema,0.78177506,0.6666666666666666,0.8571273418408906
Pneumonia,0.1473166,0.7791666666666667,0.5227122745270567
Cardiomegaly,0.31559741,0.8670842032011135,0.5407075999293578
Lung Lesion,0.02906885,0.9152854511970534,0.13523191406031443
Fracture,0.53948593,0.4393305439330544,0.7246081935661259
Lung Opacity,0.28932875,0.7505330490405118,0.44767783656672544
Enlarged Cardiomediastinum,0.5022994,0.7916666666666666,0.5461709875536714
