,Threshold,Sensitivity,Specificity
Atelectasis,0.44457904,0.7880032867707477,0.39733829255535535
Consolidation,0.50165844,0.6466602129719264,0.49324363176355585
Pneumothorax,0.6060288,0.21875,0.9367116137451066
Edema,0.5782355,0.5555555555555556,0.8150420852565843
Pneumonia,0.5004231,0.8041666666666667,0.5204025516937968
Cardiomegaly,0.5441166,0.8009742519137091,0.5645493612762701
Lung Lesion,0.5551199,0.20994475138121546,0.8626419739271527
Fracture,0.47522554,0.5062761506276151,0.6498212812757768
Lung Opacity,0.5216829,0.6460554371002132,0.5527924750146972
Enlarged Cardiomediastinum,0.2744224,0.9583333333333334,0.3562693624653514
