,Threshold,Sensitivity,Specificity
Atelectasis,0.2915222,0.8356614626129828,0.3457313883884466
Consolidation,0.40715852,0.6708615682478218,0.49663619113334484
Pneumothorax,0.5333997,0.40625,0.8081230969986951
Edema,0.5152035,0.7777777777777778,0.5489546565300027
Pneumonia,0.519271,0.6291666666666667,0.6807083150021997
Cardiomegaly,0.5182787,0.7550452331245651,0.6039324189085772
Lung Lesion,0.21553993,0.8324125230202578,0.2607844234319924
Fracture,0.14386876,0.7447698744769874,0.3991201539730547
Lung Opacity,0.5334698,0.6275764036958067,0.606114050558495
Enlarged Cardiomediastinum,0.14059092,0.9166666666666666,0.3587151475623675
