,Threshold,Sensitivity,Specificity
Atelectasis,0.027964735,0.8422350041084634,0.4920671819608299
Consolidation,0.009218584,0.7260406582768635,0.6030705537346903
Pneumothorax,0.0068754195,0.65625,0.6760548064375815
Edema,0.0001739294,0.8888888888888888,0.42525115395058377
Pneumonia,0.033777237,0.6791666666666667,0.7039155301363836
Cardiomegaly,0.00771803,0.8615170494084899,0.6899393653970683
Lung Lesion,inf,0.0,1.0
Fracture,0.017328925,0.6150627615062761,0.6687379708551003
Lung Opacity,0.004139719,0.6211798152096659,0.5924162257495591
Enlarged Cardiomediastinum,inf,0.0,1.0
